Scene Number,Instruction Type,Instruction
47.0,s,continue straight at the intersection
48.0,sd,Slow down and watch the pedestrian and the turn right and continue going straight
48.0,s,"at the end of the construction turn right at the intersection, merge onto the left lane"
48.0,s,"turn right on the T-junction, then slide into the leftmost lane"
48.0,,Turn right at the intersection
48.0,d,Slow down when the person crosses the road
48.0,,"make a right turn, switch to the left lane"
49.0,s,Take the very first left and stay on the leftmost lane
49.0,,turn left
49.0,s,turn left at the intersection and continue straight 
49.0,s,turn left at the intersection
49.0,s,Keeping going straight then at the next turn take a left
50.0,,turn left
50.0,s,take the next left turn
50.0,,Take the very first left and go straight
50.0,s,turn right at the intersection
50.0,s,Keep going straight and then take the first left
51.0,s,Stop right before the intersection
51.0,sd,drive around the parked cars on the left and continue straight
51.0,s,"swerve around the parked cars then stop at the intersection, then move forward"
51.0,s,Switch lanes temporarily and then go back to the left lane and wait
51.0,s,"Drive around road blockages, come to a complete stop then continue straight. "
51.0,s,"Go on the right side of the parked cars, then go back to the lane once it's clear"
52.0,s,turn left  at the intersection
52.0,sd,"slow down as you approach the white car and continue along the road driving around any parked cars , take a left at the end of the road"
52.0,s,"Stay in the middle of the road to avoid the vehicle on the left and right side of the road, then go back on the left side."
52.0,sd,"slow down for incoming vehicle, avoid road obstruction, come to a complete stop then turn left. "
52.0,ds,Turn left at the intersection
52.0,d,Stay on the left side of the car approaching you
52.0,sd,Slow down and avoid the white car. Switch lanes to avoid the car in front and then take a left turn at the end of the street
53.0,d,follow the white sedan ahead of you in your lane
54.0,s,"turn left, avoid road obstruction"
54.0,,Make a left turn
54.0,sd,Take a left turn and aviad the cars and trucks  to the left. Split the lane until the trucks clear up.
54.0,s,turn right at the intersection
54.0,sd,turn left at the end of the intersection and drive around avoiding parked trucks on the road
54.0,s,"Stay in the middle of the lane to avoid the vehicles on the left and right sides of the road, but then proceed to switching to the left lanes ones the cars on the left clear."
55.0,d,follow the gray car ahead and turn right at the same intersection as it
56.0,d,Take the right turn that the grey vehicle in front of you takes.
56.0,,turn right
56.0,,Follow the road.
56.0,s,"turn left, then turn right at the intersection"
56.0,s,Continue going straight and then take the first right turn when available
57.0,,switch to the left lane
57.0,d,"Go straight, even once you see the individual crossing the crosswalk. Once passed the crosswalk, switch to the left lane."
57.0,s,"turn right, then slide into the left lane"
57.0,s,Take a right turn and then continue going straight.
58.0,s,Keep going straight and then switch to the left lane and take a left.
58.0,,turn left at the intersection 
58.0,s,Switch to the left lane once passing the parked vehicles that are on the left lane. Then take the first left
58.0,,"switch to the left lane, turn left"
58.0,s,slide into the left lane then turn left.
60.0,,wait for the prius to move forward
60.0,d,Start moving forward slowly when the vehicle in front of you starts to move.
61.0,,turn left follow the white van
61.0,s,Take the left turn and merge on to the road.
61.0,d,Follow the white van.
61.0,,turn left
61.0,s,slide into the left turing lane then turn left
61.0,d,Follow the vehicle in front of you.
61.0,,Switch to the left lane.
62.0,,side to the left lane
62.0,,switch to the left lane
62.0,,merge one lane over to the left
62.0,s,Keep going straight and then switch to the left lane
63.0,d,Follow the vehicle in front of you.
63.0,s,Stop right before the intersection.
63.0,,"slow down and stop, once road is clear continue straight. "
63.0,,stop at the intersection then proceed with caution
65.0,s,turn right at the intersection
65.0,,turn right
65.0,,take a right here and continue straight
65.0,,Make a right turn and go straight
65.0,s,Take the right turn and then keep going straight.
66.0,d,"Slowly move forward when there are no cars approaching from behind, but stop once cars are nearby."
66.0,d,check for incoming vehicles on left lane
66.0,d,wait until there are no vehicles approaching from behind 
67.0,d,Switch to the left lane once it is clear.
67.0,s,slide into the left lane
67.0,sd,Switch to the left lane and then keep going straight. Stop for the pedestrian. Then continue going straight.
67.0,d,"switch to left lane, stop for incoming pedestrian, once clear continue straight. "
67.0,d,"Stop right before the crosswalk to let the individual pass, then proceed as normal after."
67.0,sd,",merge onto the main road and stop at the cross walk and wait for pedestrian to cross"
68.0,,turn left
68.0,s,Keep going straight and then take a left.
68.0,d,Make a left turn once all cars from the left side have turned compeltely.
68.0,d,"sow down to avoid hitting the truck, then turn left"
68.0,,turn left at the intersection
69.0,,turn left
69.0,s,turn left at the intersection
69.0,,turn left here continue straight 
70.0,,turn left
70.0,,Make a left turn at the intersection
70.0,s,Keep going straight and then take a left.
70.0,s,turn left at the intersection
71.0,s,turn left at the intersection
71.0,s,"When you see the construction in front of you, take the first left."
71.0,s,Follow the road and then take a left to avoid the construction vehicle ahead.
71.0,,turn left
71.0,s,follow the road to the left and continue left at any obstructions
72.0,d,Make a right turn when the white vehicle passes you from the left.
72.0,s,Take a right turn and then continue.
72.0,s,stop at the intersection then turn right
72.0,d,turn right at the intersection when no vehicles are approaching 
72.0,d,wait for incoming traffic then turn right
73.0,s,stop at the stop sign  and turn right
73.0,,Turn right.
73.0,s,Go straight and then take a right turn.
73.0,,turn right
73.0,s,stop at the intersection then turn right
74.0,d,let the car in the front pass then turn left
74.0,d,Make a left turn when all vehicles from the left side pass by.
74.0,s,Take a left turn and merge onto the road and then continue going straight.
74.0,,turn left
74.0,,turn left when no vehicle are approaching  from either side of the road
76.0,,Make a right turn.
76.0,,take two immediate right turns
76.0,s,Take a right and then take another right.
76.0,s,"turn right, then turn right at the next intersection"
76.0,,"turn right, turn right"
76.0,,Make another right turn.
92.0,sd,continue straight and move away from obstacles and pedestrians 
93.0,,turn right and continue straight 
93.0,,Make a right turn into the middle lane and go straight
93.0,,turn right
93.0,s,turn right at the intersection
93.0,,Take a right turn and then continue going straight.
94.0,ds,Stop behind the vehicle in front of you.
94.0,s,stop at the intersection behind the car
94.0,,slow down
95.0,ds,Start moving forward when the vehicle in front of you starts to go forward.
95.0,d,"once vehicle in front moves, continue straight"
96.0,d,follow the white car ahead 
97.0,d,"once vehicle in front moves, continue straight"
97.0,d,start moving when the car in front starts moving
97.0,ds,Start moving forward when the vehicle in front of you starts to go forward.
97.0,d,follow the white car ahead 
99.0,,"Switch to the left lane once it is clear to switch, and then go striaght."
99.0,d,"once there is no vehicles in the left lane, switch to the left lane. "
99.0,sd,merge onto the left lane when no vehicles are approaching from behind
99.0,s,Switch to the left lane and then keep going straight.
99.0,d,slide into the left lane when there are no cars in the way
100.0,d,Wait until the car in front of you starts moving and make sure that the signal is green
100.0,s,Keep going straight and then switch to the right lane after the light.
101.0,d,follow the car ahead and go straight 
101.0,d,"Wait untill the signal turns green, let the car in front of you start moving, once you have started moving slide into the right lane while avoiding collision with the construction equipment on the side of the road"
101.0,s,Switch to the right lane once you pass all objstructions on the right side of the road.
101.0,s,Turn right and then continue going left.
101.0,d,"once vehicle in front moves, continue straight"
102.0,,turn right continue straight 
102.0,ds,"Make sure there is no one person on the zebra crossing in front of you, and make that the signal is green, then turn right make sure there's no one on the second zebra crossing, continue turing right until you have entered the lane"
102.0,d,"Keep going straight, but wait for the black van to merge on to the road."
102.0,,Make a right turn and go straight.
102.0,,turn right
103.0,d,Slow down when the car from the left hand side starts to turn onto the road.
103.0,s,"Keep going straight, slow down for the black van to merge"
103.0,d,slow down for incoming vehicle
103.0,d,"Pass through the yellow light, wait for the black SUV to join the lane, once it joins the lane continue driving"
104.0,ds,"make sure that the signal light in front of you is green, when the car in front of you starts moving you can start moving, continue driving in the same lane"
105.0,s,slide into the left-most lane and coninue driving in that lane
105.0,d,continue following the white car ahead
105.0,d,Keep a distance between the car in front of you.
106.0,d,"continue driving in the leftmost lane, when the car in front of you begins to slowdown, you slowdown as well"
107.0,d,Slow down a little to allow the bus to merge
107.0,,go straight
107.0,,continue straight
108.0,d,wait for the white car to pass when the road is clear turn right
108.0,,wait for incoming traffic then turn right
108.0,d,Make a right turn after the vehicle form the left side has passed.
108.0,sd,Wait for cars to pass and then turn right and keep going straight
108.0,d,turn right when no vehicles are approaching
109.0,s,Keep going straight around the roundabout
109.0,s,enter the roundabout and exit out the first turn
109.0,,Go about the roundabout and keep going straight
109.0,,Enter the round about and keep going straight
110.0,,go straight
120.0,d,"Stop right before the closed toll gate, then slowly go straight when it opens"
120.0,s,"continue going straight in the left most lane, wait for the gate to open, once open drive"
120.0,s,Keep going straight and slow down for the bump
120.0,d,"slow down at gate, once it opens continue straight"
121.0,,continue driving in the rightmost lane
121.0,s,continue straight stay on the right lane 
122.0,,"Stop at the intersection, turn right"
122.0,s,Keep going straight and wait for the other vehicles to pass before turning right
122.0,d,"stop for incoming traffic, turn right"
122.0,,Make a right turn.
122.0,,turn right when no vehicles are approaching
123.0,s,"Immediately after passing the parked truck on the left side of the road, switch to the left lane and make the turn."
123.0,s,Merge to left lane and continue on that lane
123.0,,switch to left lane
123.0,sd,merge into the left only lane after passing the parked truck and take the left turn 
123.0,s,"slide into the left-most lane and cexit from the main road, then continue to drive straight"
124.0,,go straight
125.0,,"switch to left lane, stop at intersection"
125.0,s,Stop at the next left turn
125.0,,"Before reaching the intersection, switch to the left lane."
125.0,ds,slide into the left lane and stop at the intersection to let the pedestrians pass.
125.0,,turn left at the end of the road
126.0,d,Take the same right turn as the vehicle in front.
126.0,d,"slow down, then turn right once near the broken line section in the middle of the road"
126.0,d,Take a left after the white vehicle has passed by.
126.0,,"turn left, turn right"
126.0,d,turn left once the the car in front of you has passed
126.0,s,Take a left turn and keep going straight and take the next right
126.0,sd,turn left when no vehicles are approaching and follow the white car ahead turn right 
127.0,sd,Wait for the bar to raise and the go slowly straight.
127.0,s,go straight drive around any parked vehicles or pedestrians
127.0,d,"slow down for oncoming pedestrians and traffic, continue straight once clear. "
127.0,ds,"Once the gate opens, slowly proceed and continue straight while avoiding the obstacles around."
127.0,s,"wait for the gate to open, then proceed slowly"
128.0,s,slow down at the zebra Crossing
129.0,,turn right
129.0,s,Take a right turn and keep going straight
129.0,s,"continue driving on the road, then stop at the zebra crossing and go straight."
130.0,d,"wait for the pedestrians to cross, then continue to go straight."
130.0,d,wait for pedestrians to cross the crosswalk and continue straight
130.0,d,Wait for the individuals to cross the street and then proceed forward.
130.0,d,"stop for pedestrians, once clear continue straight"
130.0,d,Wait for the pedestrians to pass before going straight
131.0,d,Make a left turn once the vehicle from the left passes by.
131.0,d,"stop for on coming traffic, once clear turn left. "
131.0,d,Wait for the white car to pass before turning left and merging onto the lane 
131.0,d,turn left when no vehicle is approaching 
131.0,d,"wait for the car to pass, then turn left"
132.0,s,"stop at the intersection, turn left"
132.0,s,turn left after the speedbump
132.0,s,Slow down before take a left turn
132.0,,turn left
132.0,ds,Take the left turn that is right after the speed bump and stay on the left side to allow the oncoming car to pass.
133.0,s,Slide back into the right lane to avoid colliding with the car in front
133.0,s,go around vehicle
133.0,s,"Go to the right side of the road to avoid hitting the bus on the left side of the road, and then switch back to the left once passed."
133.0,s,drive around the parked bus
133.0,s,Take a slight right to avoid the bus and then move back to the left lane.
133.0,s,"slide into the right lane to avoid colliding with the bus,"
134.0,,turn left here
134.0,s,Stop at the intersection stopsign. Then turn left
134.0,d,"stop for incoming traffic, once clear turn left. "
134.0,s,"stop at the intersection, then turn right"
134.0,sd,Wait for the white car to pass before turning left and merging onto the leftmost lane
135.0,,go straight
138.0,s,"stop at the crosswalk, then continue"
139.0,,conintue on the road
139.0,s,drive around pedestrians on the side of the road and merge into the left only lane at the intersection
149.0,,turn left
149.0,,turn left continue straight 
149.0,s,Take a left turn and then continue down the road
149.0,,turn right and continue on the road
149.0,,Turn left and continue.
150.0,,go straight
151.0,s,turn right at the intersection and stay in the right lane
151.0,s,"Before reaching the vehicle in front, switch to the right lane."
151.0,d,follow the gray car ahead and turn right
151.0,,turn right
151.0,s,Make a right turn and enter the first lane
151.0,s,Take right turn and continue down the road
152.0,,switch to the right lane
152.0,s,continue straight change lanes to avoid parked buses 
152.0,s,slide into the right lane in order to avoid hitting parked busses
152.0,s,Move to the right lane to avoid the bus
154.0,,Finish the left turn
154.0,sd,Take a left turn and merge onto the street. Shift slightly to the right to avoid the yellow car
154.0,d,"complete the turn then slow down for the parkinmg car, continue slowly. Slide slightly to the left to avoid hitting the approaching car"
154.0,d,follow the road move away from approaching vehicle in the same lane 
154.0,,Squeeze to the leftmost side of the road to allow the vehicle in front to squeeze through the middle.
154.0,d,"turn left, slow down for incoming traffic"
155.0,ds,"Make a left turn, but stop at the cross walk when the individual crosses, then proceed after."
155.0,,"turn left here, continue and turn into the left turn lane"
155.0,sd,Take a left turn and then take another left turn on the next left.
155.0,d,"turn left, turn left and come to a stop for incoming pedestrians"
155.0,s,"after turing into the left lane continue along the road, then turn left in the turning lane, but first stop at the crossing and let the pedestrian cross"
157.0,d,turn right when no vehicle is approaching 
157.0,d,"wait until traffic is clear, turn right"
157.0,d,"After the motorcycle drives by from the left side, make a right turn."
157.0,s,"wait at the intersection, then turn right and continue in the left lane."
157.0,s,Wait for the motorcycle to pass before taking a right turn
158.0,d,Wait for the worker to remove the cone before continuing straight and then follow the truck in front
158.0,d,"wait for pedestrians, once clear continue straight"
158.0,d,"Once the path is clear, go straight."
158.0,d,Follow the vehicle ahead
158.0,sd,wait until worker moves away obstructing cone and follow the bus ahead
158.0,d,"wait for the construction worker to remove the traffic cone and then waive the flag, once given the signal to move, proceed slowly."
159.0,d,"wait for pedestrians, once clear continue straight. "
159.0,d,Wait for the workers to pass before continue down the street and then merging onto the lane
159.0,d,"Once all individuals cross the crosswalk, proceed forward."
159.0,d,"wait for the pedestrians to cross, then slowly merge into left lanne of the main street"
159.0,d,wait for all pedestrians to cross the road then continue 
160.0,d,"wait for incoming traffic, once clear continue straight"
160.0,d,"In order to merge into  the road, beign entering the street and then check on coming traffic once it is clear, merge into the street."
160.0,d,Wait for the blue car to pass before moving to the right lane
160.0,sd,drive around parked traffic in the left lane however only change lanes when there are no vehicles approaching from the other side of the road
160.0,ds,"Once all vehicles on the right lane pass by, cross the double-lined road to the right side."
161.0,d,"wait for the Jeep to pass, then slowly move forward"
161.0,d,wait until there is no incoming vehicle from the left side
161.0,d,Wait for the black car to pass before going down the road
161.0,d,"Once the dark-colored vehicle has passed you, proceed forward."
162.0,d,"turn left, wait for incoming traffic once clear turn right. "
162.0,s,Turn left and then turn right
162.0,d,"turn right, then turn right agai to merge into the street."
162.0,d,Make a right turn if no cars are coming from the left side.
162.0,sd,exit the parking lot and turn right 
162.0,s,Make a left turn and stop right before the intersection.
163.0,,turn right at the intersection continue straight 
163.0,,go straight
164.0,s,Take right turn and then go straight
164.0,,turn right. 
164.0,s,turn right and continue on the road
164.0,s,Make the first right turn.
165.0,s,slow down in the construction zone then continue moving straight along the road
166.0,s,keep going straight and begin slowing down as we approach the stop sign.
167.0,,continue following the road 
168.0,,continue going along the road.
170.0,s,Stop right next to the truck.
170.0,,Make a left turn
170.0,s,turn left and stop by the yellow semi truck
170.0,s,Take left turn and then merge onto the lane and stop right before the yellow truck
170.0,s,"turn left at the intersection, then stop near the parked Semi-truck"
170.0,s,turn left and avoid vehicile
171.0,s,Go left when the left lane opens up.
171.0,,continue straight 
171.0,s,"continue on road, avoid hitting parked vehicles"
171.0,s,Continue down the road and move a little bit to the left to avoid the parked trucks
172.0,s,Stop right before the bus and then turn at the incoming left
172.0,s,"go around vehicle , turn left"
172.0,s,"slow down ans stop for the stopped bus, once its safe to go, continue going straight and then make a left turn."
172.0,s,drive around the blue parked bus and turn left at the end of the road 
172.0,s,"Stop right before the blue bus, then after a brief moment continue driving."
172.0,s,Take a left
173.0,s,turn left at the stop sign
173.0,ds,Stop briefly right before the intersection and turn left when there are no cars coming from either side.
173.0,s,Turn left at the dead end
173.0,s,keep going straight and slow down as you enter the intersection.
174.0,,turn left
174.0,s,Turn left and then continue going straight
174.0,s,turn left and then continue going straight.
175.0,s,stop at the intersectio and start moving when it is safe.
175.0,ds,Stop at the stopsign. Take a right when the second vehicle from the left passes.
175.0,s,Go towards the dead end and then stop
176.0,ds,"stop at the intersection near the stop sight, let the black truck pass,then turn right."
176.0,s,turn right at the stop sign when there are also no incoming vehicles
176.0,ds,Stop at the stopsign. Take a right when the vehicle from the left passes.
176.0,s,Stop at the stop sign and then turn right
177.0,ds,"Slowly approach the gate until it opens, then proceed forward."
177.0,s,Stop before you reach the toll gate.
177.0,d,Stop at the gate and then continue once the gate opens
177.0,d,"stop at the gate, move slowly when the arm rises up."
178.0,,follow the road to the right at the fork in the road
178.0,s,Keep going straight and then take right down hill
178.0,,"continue driving on the road, stay on the right side."
178.0,s,Make the second right turn and stay on the left lane.
178.0,,turn right
179.0,ds,"Drive slowly forward until the individual in front passes by, then go straight."
179.0,d,"when the pedestrian passes, continue moving ahead."
179.0,sd,Merge onto the the street after the pedestrian passes
179.0,d,slowly move around walking pedestrian
180.0,s,turn right and then follow the arros on the street.
180.0,,turn right
180.0,,Make a right turn in the parking lot and then follow the path.
181.0,s,Wait for the gate to open and then continue straight
181.0,s,"wait for the gate to open, then proceed slowly"
181.0,d,"Slowly proceed forward until the toll gate opens, then proceed with normal speed."
182.0,,go straight
183.0,,go straight
184.0,,continue along the road
184.0,,continue driving up the hill
185.0,d,take a right here and wait for the pedestrian to cross the road before continuing straight 
185.0,d,"turn right and wait for the pedestrian to cross, once he crosses start moving forward"
185.0,d,Turn right and wait for the pedestrians to pass before continuing straight
185.0,ds,Make a right turn and stop before the crosswalk to let the pedestrian cross the road. Then proceed once the individual has passed.
185.0,d,turn right and wait for pedestrian to pass by
187.0,s,stop at the intersection 
187.0,ds,"Slightly move to the right side of the lane to avoid hitting the person, and stop right before the stopsign."
187.0,d,slow down for pedestrian
188.0,d,ignore pedestrians on the side of the road
188.0,s,continue following the road 
190.0,s,Go straight and then stop behind the grey car
190.0,s,stop behind the stopped car
190.0,ds,Stop right behind the vehicle in front of you.
191.0,,turn right continue straight 
191.0,s,Turn right and then continue going down the road
191.0,s,Turn right when you reach the yellow marking on the road.
191.0,s,turn right at the T junction
192.0,d,Make a left turn when all vehicles from the right pass.
192.0,d,wait till the road is clear of moving cars and turn left
192.0,sd,Wait for the cars to pass and then turn left and merge onto the road
192.0,d,turn left when there are no vehicles approaching
192.0,d,turn left when it is safe to do so.
193.0,s,stop at the intersection
193.0,ds,Stop before the intersection if the stoplight is red.
194.0,s,"follow the road, then stop at the intersection"
194.0,d,follow the silver car ahead 
194.0,d,Follow the vehicle in front of you and take the same turn.
194.0,d,Stop behind the gray car at the stoplight
195.0,d,Pick up to normal speed once passing by the bus and the vehicle that are on the right lane.
195.0,,continue straight on the road
196.0,,go straight
199.0,,go straight
200.0,s,swerve around the container
200.0,s,go around road obstruction
200.0,s,Move slightly to the left of the gray container and then continue driving
200.0,s,continue straight turn slightly right into the right lane drive around the parked truck
200.0,s,"Right before approaching the parked vehicle in front of you, switch to the left lane to avoid hitting it."
202.0,s,Stop at the stopsign. After a full stop proceed through the intersection.
202.0,s,"turn right, stop at the stop sign, then continue driving"
202.0,s,stay on the right lane when ap[racing the stop sign
203.0,d,turn right wait for incoming pedestrian
203.0,sd,Drive to the left and wait for the pedestrian to pass before continuing to drive
203.0,ds,"stop at the zebra crossing wait for the pedestrian to cross, then continue driving"
203.0,d,"turn right here, wait for pedestrian to cross the road and continue straight"
203.0,d,Stop right before the crosswalk to let the individual pass through. Then proceed forward as normal.
204.0,,go straight
206.0,s,"slow down at the intersection, do a slight left turn."
206.0,s,Slow down before turning to the left
207.0,s,Stop right before the crosswalk.
207.0,d,Slow down before approaching the vehicle in front of you and proceed as normal once the vehical makes its turn.
207.0,d,follow the white truck ahead 
207.0,d,"slow down when approaching the turning truck, once it turns come to gradual stop"
208.0,d,"wait for all the cars on the left side to pass, then continue driving."
208.0,d,Wait for the cars to merge onto the street before going straight
208.0,ds,Cross the crosswalk once all cars have merged onto the road
208.0,d,wait  until there are no approaching cars and pedestrians
209.0,,follow the road
209.0,s,stay in the right lane of the road
